Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2018,Russia,Saudi Arabia,14/06/2018,16:00,5,0,2,0,3,0,,,,,90 minutes,13,6,7,0,22,10,6,2,1,1,0,0,1.45,4.4,9.45,1.5,4.5,9.75,1.46,4.32,8.92
World Cup 2018,Egypt,Uruguay,15/06/2018,13:00,0,1,0,0,0,1,,,,,90 minutes,8,14,3,4,12,6,0,5,2,0,0,0,8.82,4.05,1.52,9.2,4.24,1.54,8.35,4.06,1.5
World Cup 2018,Morocco,Iran,15/06/2018,16:00,0,1,0,0,0,1,,,,,90 minutes,13,8,3,2,22,14,5,2,1,3,0,0,2.21,3.01,4.25,2.3,3.1,4.4,2.23,2.95,4.11
World Cup 2018,Portugal,Spain,15/06/2018,19:00,3,3,2,1,1,2,,,,,90 minutes,8,12,3,5,12,10,4,5,1,1,0,0,4.36,3.25,2.07,4.6,3.37,2.1,4.3,3.26,2.03
World Cup 2018,France,Australia,16/06/2018,11:00,2,1,0,0,2,1,,,,,90 minutes,13,4,5,1,16,19,5,1,1,3,0,0,1.28,7.15,9.91,1.29,7.5,14,1.26,6.99,10.6
World Cup 2018,Argentina,Iceland,16/06/2018,14:00,1,1,1,1,0,0,,,,,90 minutes,26,9,7,3,10,15,10,2,0,0,0,0,1.33,5.44,11.98,1.36,5.65,13,1.33,5.31,11.04
World Cup 2018,Peru,Denmark,16/06/2018,17:00,0,1,0,0,0,1,,,,,90 minutes,18,10,6,3,10,18,3,7,1,2,0,0,3.67,3.15,2.33,3.9,3.2,2.4,3.68,3.09,2.31
World Cup 2018,Croatia,Nigeria,16/06/2018,20:00,2,0,1,0,1,0,,,,,90 minutes,11,14,2,2,20,16,6,5,2,1,0,0,1.69,3.76,6.16,1.71,3.9,6.5,1.68,3.76,5.99
World Cup 2018,Costa Rica,Serbia,17/06/2018,13:00,0,1,0,0,0,1,,,,,90 minutes,10,10,3,3,18,15,5,4,2,2,0,0,5.39,3.45,1.83,5.7,3.55,1.95,5.29,3.4,1.84
World Cup 2018,Germany,Mexico,17/06/2018,16:00,0,1,0,1,0,0,,,,,90 minutes,25,12,9,4,10,15,8,1,2,2,0,0,1.52,4.69,6.8,1.53,4.83,8.25,1.49,4.56,7.31
World Cup 2018,Brazil,Switzerland,17/06/2018,19:00,1,1,1,0,0,1,,,,,90 minutes,20,6,4,2,12,19,7,2,1,3,0,0,1.49,4.45,8.1,1.52,4.64,9,1.47,4.38,8.2
World Cup 2018,Sweden,South Korea,18/06/2018,13:00,1,0,0,0,1,0,,,,,90 minutes,15,5,5,0,20,23,6,5,1,2,0,0,2.25,3.09,3.97,2.34,3.15,4.05,2.27,3.04,3.86
World Cup 2018,Belgium,Panama,18/06/2018,16:00,3,0,0,0,3,0,,,,,90 minutes,15,6,6,2,17,18,9,3,3,5,0,0,1.22,6.63,18.82,1.25,7.5,21,1.21,6.83,17.92
World Cup 2018,Tunisia,England,18/06/2018,19:00,1,2,1,1,0,1,,,,,90 minutes,6,17,1,7,14,8,2,7,0,1,0,0,8.6,4.21,1.5,9.5,4.4,1.53,8.47,4.21,1.48
World Cup 2018,Colombia,Japan,19/06/2018,13:00,1,2,1,1,0,1,,,,,90 minutes,8,14,3,6,15,9,3,6,2,1,1,0,1.92,3.36,4.97,1.92,3.5,5.5,1.88,3.34,5.06
World Cup 2018,Poland,Senegal,19/06/2018,16:00,1,2,0,1,1,1,,,,,90 minutes,10,8,4,2,8,15,3,3,1,2,0,0,2.54,3.1,3.3,2.63,3.2,3.5,2.48,3.07,3.32
World Cup 2018,Russia,Egypt,19/06/2018,19:00,3,1,0,0,3,1,,,,,90 minutes,11,13,3,1,11,10,7,4,1,1,0,0,1.94,3.7,4.24,2.1,3.72,4.7,1.96,3.51,4.29
World Cup 2018,Portugal,Morocco,20/06/2018,13:00,1,0,1,0,0,0,,,,,90 minutes,10,16,2,4,19,23,5,7,1,1,0,0,1.71,3.66,6.1,1.74,3.85,6.5,1.7,3.67,5.97
World Cup 2018,Uruguay,Saudi Arabia,20/06/2018,16:00,1,0,1,0,0,0,,,,,90 minutes,13,8,4,3,10,13,3,4,0,0,0,0,1.22,6.72,18.5,1.25,7.3,21,1.22,6.62,17.46
World Cup 2018,Iran,Spain,20/06/2018,19:00,0,1,0,0,0,1,,,,,90 minutes,5,17,0,3,14,14,2,6,2,0,0,0,20.07,6.95,1.21,23,7.3,1.25,19.05,6.78,1.21
World Cup 2018,Denmark,Australia,21/06/2018,13:00,1,1,1,1,0,0,,,,,90 minutes,10,14,5,5,7,5,3,5,2,0,0,0,1.9,3.5,4.79,2,3.5,4.85,1.92,3.42,4.62
World Cup 2018,France,Peru,21/06/2018,16:00,1,0,1,0,0,0,,,,,90 minutes,12,10,4,2,11,15,5,3,2,2,0,0,1.63,3.99,6.46,1.65,4.1,7.5,1.62,3.84,6.58
World Cup 2018,Argentina,Croatia,21/06/2018,19:00,0,3,0,0,0,3,,,,,90 minutes,10,15,3,5,15,23,5,2,3,4,0,0,2.11,3.22,4.22,2.17,3.54,4.4,2.1,3.27,4.04
World Cup 2018,Brazil,Costa Rica,22/06/2018,13:00,2,0,0,0,2,0,,,,,90 minutes,23,4,9,0,11,11,10,1,2,1,0,0,1.21,6.75,19.5,1.24,7.15,21.9,1.21,6.7,18.82
World Cup 2018,Nigeria,Iceland,22/06/2018,16:00,2,0,0,0,2,0,,,,,90 minutes,16,10,4,3,9,10,6,5,1,0,0,0,2.96,3.11,2.77,3.13,3.22,2.85,2.98,3.07,2.71
World Cup 2018,Serbia,Switzerland,22/06/2018,19:00,1,2,1,0,0,2,,,,,90 minutes,12,20,3,5,17,12,3,7,4,1,0,0,2.71,3.07,3.06,3.02,3.3,3.2,2.74,3.05,2.96
World Cup 2018,Belgium,Tunisia,23/06/2018,13:00,5,2,3,1,2,1,,,,,90 minutes,23,15,12,5,12,13,5,2,0,1,0,0,1.35,5.12,12,1.39,5.54,13.5,1.34,5.08,11.48
World Cup 2018,South Korea,Mexico,23/06/2018,16:00,1,2,0,1,1,1,,,,,90 minutes,17,13,6,5,24,7,7,5,4,0,0,0,5.53,3.82,1.73,6.57,4.1,1.75,5.56,3.82,1.71
World Cup 2018,Germany,Sweden,23/06/2018,19:00,2,1,0,1,2,0,,,,,90 minutes,16,8,5,6,12,13,8,3,2,2,1,0,1.48,4.73,7.62,1.51,4.95,8.6,1.47,4.62,7.45
World Cup 2018,England,Panama,24/06/2018,13:00,6,1,5,0,1,1,,,,,90 minutes,12,8,7,2,14,13,3,2,1,3,0,0,1.23,6.32,18.06,1.24,7,24.25,1.22,6.41,18.09
World Cup 2018,Japan,Senegal,24/06/2018,16:00,2,2,1,1,1,1,,,,,90 minutes,7,14,3,7,8,14,2,5,2,3,0,0,3.22,2.95,2.7,3.52,3.53,2.85,3.16,2.96,2.67
World Cup 2018,Poland,Colombia,24/06/2018,19:00,0,3,0,1,0,2,,,,,90 minutes,9,13,2,3,15,10,7,5,2,0,0,0,3.49,3.39,2.28,3.6,3.77,2.4,3.46,3.45,2.22
World Cup 2018,Saudi Arabia,Egypt,25/06/2018,15:00,2,1,1,1,1,0,,,,,90 minutes,22,8,7,1,7,16,7,2,0,2,0,0,5.48,3.65,1.78,7.1,3.85,1.85,5.27,3.62,1.78
World Cup 2018,Uruguay,Russia,25/06/2018,15:00,3,0,2,0,1,0,,,,,90 minutes,17,3,7,1,17,18,4,2,1,3,0,1,2.77,3.04,3.03,3.06,3.25,3.08,2.74,3.06,2.96
World Cup 2018,Iran,Portugal,25/06/2018,19:00,1,1,0,1,1,0,,,,,90 minutes,7,14,2,4,16,11,1,5,2,4,0,0,6.41,4.14,1.61,7,4.3,1.67,6.24,4.04,1.61
World Cup 2018,Spain,Morocco,25/06/2018,19:00,2,2,1,1,1,1,,,,,90 minutes,16,6,4,3,5,17,7,1,0,6,0,0,1.38,5.15,9.65,1.41,6.12,12.97,1.37,5.09,9.86
World Cup 2018,Australia,Peru,26/06/2018,15:00,0,2,0,1,0,1,,,,,90 minutes,14,4,2,3,13,12,8,3,4,2,0,0,3.01,3.51,2.48,3.16,3.6,2.75,2.9,3.5,2.5
World Cup 2018,Denmark,France,26/06/2018,15:00,0,0,0,0,0,0,,,,,90 minutes,5,11,1,4,10,10,4,2,1,0,0,0,5.35,2.75,2.08,6.45,3.34,2.3,5.27,2.78,2.08
World Cup 2018,Iceland,Croatia,26/06/2018,19:00,1,2,0,0,1,2,,,,,90 minutes,17,13,6,2,10,12,10,5,3,2,0,0,4.19,4.13,1.83,4.88,4.15,2,4.36,3.93,1.84
World Cup 2018,Nigeria,Argentina,26/06/2018,19:00,1,2,0,1,1,1,,,,,90 minutes,9,8,3,4,20,15,3,5,2,3,0,0,5.88,5.32,1.51,6.6,5.55,1.56,5.91,5.14,1.5
World Cup 2018,Mexico,Sweden,27/06/2018,15:00,0,3,0,0,0,3,,,,,90 minutes,19,13,3,5,14,11,7,3,3,2,0,0,2.25,3.43,3.51,2.4,3.5,3.72,2.23,3.38,3.52
World Cup 2018,South Korea,Germany,27/06/2018,15:00,2,0,0,0,2,0,,,,,90 minutes,11,26,5,6,16,7,3,9,4,0,0,0,19.5,8.5,1.17,23.75,9.2,1.2,18.76,8.19,1.17
World Cup 2018,Serbia,Brazil,27/06/2018,19:00,0,2,0,1,0,1,,,,,90 minutes,10,13,1,6,13,7,5,9,3,0,0,0,7.53,4.68,1.49,8.5,4.85,1.55,7.34,4.64,1.48
World Cup 2018,Switzerland,Costa Rica,27/06/2018,19:00,2,2,1,0,1,2,,,,,90 minutes,12,14,3,6,9,14,6,5,3,3,0,0,1.63,3.63,7.3,1.65,3.9,8.5,1.61,3.68,7.37
World Cup 2018,Japan,Poland,28/06/2018,15:00,0,1,0,0,0,1,,,,,90 minutes,10,11,3,2,11,8,5,7,1,0,0,0,3.01,3.2,2.67,3.1,3.25,3.06,2.96,3.15,2.67
World Cup 2018,Senegal,Colombia,28/06/2018,15:00,0,1,0,0,0,1,,,,,90 minutes,8,4,3,2,15,15,1,3,1,1,0,0,5.24,3.9,1.75,5.65,4,1.9,5.07,3.79,1.76
World Cup 2018,England,Belgium,28/06/2018,19:00,0,1,0,0,0,1,,,,,90 minutes,13,15,1,4,11,14,7,2,0,2,0,0,2.43,2.85,3.86,2.7,3,3.9,2.46,2.85,3.67
World Cup 2018,Panama,Tunisia,28/06/2018,19:00,1,2,1,0,0,2,,,,,90 minutes,9,15,4,7,18,19,0,6,3,3,0,0,4.32,3.79,1.91,4.72,3.85,1.93,4.34,3.73,1.88
World Cup 2018,France,Argentina,30/06/2018,15:00,4,3,1,1,3,2,,,,,90 minutes,9,9,4,4,21,15,0,4,3,5,0,0,2.49,3.17,3.3,2.55,3.2,3.5,2.43,3.12,3.33
World Cup 2018,Uruguay,Portugal,30/06/2018,19:00,2,1,1,0,1,1,,,,,90 minutes,6,20,3,5,13,13,2,10,0,1,0,0,3.14,3.02,2.7,3.2,3.05,2.85,3.05,2.98,2.74
World Cup 2018,Spain,Russia,01/07/2018,15:00,1,2,1,1,0,0,0,0,3,4,Penalties,25,6,9,1,5,19,6,5,1,2,0,0,1.63,4.03,6.3,1.65,4.25,7,1.59,4.1,6.33
World Cup 2018,Croatia,Denmark,01/07/2018,19:00,2,1,1,1,0,0,0,0,3,2,Penalties,22,15,7,3,5,19,5,4,0,1,0,0,2.04,3.24,4.5,2.05,3.3,5.2,1.99,3.22,4.61
World Cup 2018,Brazil,Mexico,02/07/2018,15:00,2,0,0,0,2,0,,,,,90 minutes,21,13,10,1,6,18,8,7,2,4,0,0,1.49,4.5,7.9,1.55,4.65,8.5,1.49,4.44,7.61
World Cup 2018,Belgium,Japan,02/07/2018,19:00,3,2,0,0,3,2,,,,,90 minutes,24,11,8,4,13,9,10,6,0,1,0,0,1.44,4.7,8.71,1.49,5,10,1.43,4.71,8.58
World Cup 2018,Sweden,Switzerland,03/07/2018,15:00,1,0,0,0,1,0,,,,,90 minutes,12,18,3,4,11,13,3,11,1,2,0,1,3.53,2.98,2.49,3.6,3.01,2.63,3.37,2.95,2.53
World Cup 2018,Colombia,England,03/07/2018,19:00,1,2,0,0,1,1,0,0,3,4,Penalties,14,16,4,2,23,13,2,7,6,2,0,0,4.19,3.16,2.15,4.3,3.2,2.22,4.07,3.11,2.15
